,keyword,count,top_count,bottom_count,top_relative_frequency,bottom_relative_frequency
323,monkey,7,6.0,0.0,0.8571428571428571,0.0
324,car,7,5.0,0.0,0.7142857142857143,0.0
325,infection,7,2.0,0.0,0.2857142857142857,0.0
326,drug addiction,7,2.0,1.0,0.2857142857142857,0.14285714285714285
327,snake,7,1.0,4.0,0.14285714285714285,0.5714285714285714
328,student,7,3.0,2.0,0.42857142857142855,0.2857142857142857
329,teacher,7,1.0,2.0,0.14285714285714285,0.2857142857142857
330,baseball,7,0.0,2.0,0.0,0.2857142857142857
331,politician,7,2.0,1.0,0.2857142857142857,0.14285714285714285
332,nazi,7,4.0,0.0,0.5714285714285714,0.0
333,sword,7,1.0,3.0,0.14285714285714285,0.42857142857142855
334,quest,7,5.0,1.0,0.7142857142857143,0.14285714285714285
335,father,6,2.0,1.0,0.3333333333333333,0.16666666666666666
336,gay relationship,6,0.0,2.0,0.0,0.3333333333333333
337,intelligence,6,3.0,0.0,0.5,0.0
338,judge,6,0.0,1.0,0.0,0.16666666666666666
339,teenage sexuality,6,0.0,1.0,0.0,0.16666666666666666
340,telekinesis,6,3.0,2.0,0.5,0.3333333333333333
341,aging,6,0.0,2.0,0.0,0.3333333333333333
342,based on toy,6,5.0,0.0,0.8333333333333334,0.0
343,horse,6,2.0,3.0,0.3333333333333333,0.5
344,college student,6,2.0,0.0,0.3333333333333333,0.0
345,illness,6,0.0,1.0,0.0,0.16666666666666666
346,based on fairy tale,6,5.0,0.0,0.8333333333333334,0.0
347,summer,6,1.0,1.0,0.16666666666666666,0.16666666666666666
348,brother,6,0.0,2.0,0.0,0.3333333333333333
349,computer,6,0.0,2.0,0.0,0.3333333333333333
350,first love,6,2.0,1.0,0.3333333333333333,0.16666666666666666
351,pirate,6,3.0,1.0,0.5,0.16666666666666666
352,bully,6,1.0,0.0,0.16666666666666666,0.0
353,"chicago, usa",6,0.0,1.0,0.0,0.16666666666666666
354,post traumatic stress  disorder,6,0.0,4.0,0.0,0.6666666666666666
355,married couple,6,4.0,1.0,0.6666666666666666,0.16666666666666666
356,ancient greece,6,5.0,1.0,0.8333333333333334,0.16666666666666666
357,superhuman,6,6.0,0.0,1.0,0.0
358,mythology,6,3.0,3.0,0.5,0.5
359,teenage boy,6,1.0,2.0,0.16666666666666666,0.3333333333333333
360,astronaut,6,3.0,0.0,0.5,0.0
361,lesbian relationship,6,0.0,1.0,0.0,0.16666666666666666
362,end of the world,6,2.0,0.0,0.3333333333333333,0.0
363,water,6,3.0,0.0,0.5,0.0
364,motel,6,0.0,4.0,0.0,0.6666666666666666
365,teen movie,6,1.0,3.0,0.16666666666666666,0.5
366,basement,6,2.0,2.0,0.3333333333333333,0.3333333333333333
367,dating,6,1.0,1.0,0.16666666666666666,0.16666666666666666
368,love triangle,6,1.0,2.0,0.16666666666666666,0.3333333333333333
369,retired,6,1.0,0.0,0.16666666666666666,0.0
370,tragedy,6,1.0,2.0,0.16666666666666666,0.3333333333333333
371,bank,6,3.0,1.0,0.5,0.16666666666666666
372,adultery,6,0.0,1.0,0.0,0.16666666666666666
373,psychopath,6,1.0,2.0,0.16666666666666666,0.3333333333333333
374,army,6,3.0,0.0,0.5,0.0
375,masked killer,6,1.0,1.0,0.16666666666666666,0.16666666666666666
376,surrealism,6,1.0,2.0,0.16666666666666666,0.3333333333333333
377,rain,6,1.0,2.0,0.16666666666666666,0.3333333333333333
378,middle school,6,2.0,0.0,0.3333333333333333,0.0
379,surveillance,6,2.0,2.0,0.3333333333333333,0.3333333333333333
380,addiction,6,0.0,2.0,0.0,0.3333333333333333
381,world war i,6,3.0,3.0,0.5,0.5
382,forbidden love,6,2.0,1.0,0.3333333333333333,0.16666666666666666
383,sheriff,6,1.0,2.0,0.16666666666666666,0.3333333333333333
384,genocide,6,2.0,1.0,0.3333333333333333,0.16666666666666666
385,loneliness,6,1.0,0.0,0.16666666666666666,0.0
386,heroism,6,3.0,1.0,0.5,0.16666666666666666
387,space travel,6,3.0,0.0,0.5,0.0
388,vacation,6,1.0,0.0,0.16666666666666666,0.0
389,woman power,6,3.0,1.0,0.5,0.16666666666666666
390,amusement park,6,2.0,1.0,0.3333333333333333,0.16666666666666666
391,massacre,6,1.0,2.0,0.16666666666666666,0.3333333333333333
392,buddy comedy,6,4.0,0.0,0.6666666666666666,0.0
393,hurricane,6,2.0,1.0,0.3333333333333333,0.16666666666666666
394,hacking,6,3.0,1.0,0.5,0.16666666666666666
395,memory loss,6,3.0,2.0,0.5,0.3333333333333333
396,slavery,6,1.0,1.0,0.16666666666666666,0.16666666666666666
397,cheating husband,6,1.0,2.0,0.16666666666666666,0.3333333333333333
398,exorcism,6,2.0,0.0,0.3333333333333333,0.0
399,prisoner,6,0.0,0.0,0.0,0.0
400,artist,6,0.0,2.0,0.0,0.3333333333333333
401,casino,6,1.0,3.0,0.16666666666666666,0.5
402,virus,6,3.0,1.0,0.5,0.16666666666666666
403,car crash,6,3.0,1.0,0.5,0.16666666666666666
404,washington d.c.,6,5.0,0.0,0.8333333333333334,0.0
405,sword and sorcery,6,3.0,1.0,0.5,0.16666666666666666
406,rescue mission,6,4.0,2.0,0.6666666666666666,0.3333333333333333
407,wife,6,1.0,2.0,0.16666666666666666,0.3333333333333333
408,japan,6,3.0,2.0,0.5,0.3333333333333333
409,widow,6,0.0,1.0,0.0,0.16666666666666666
410,prom,6,0.0,0.0,0.0,0.0
411,marijuana,6,1.0,2.0,0.16666666666666666,0.3333333333333333
412,journalism,6,3.0,1.0,0.5,0.16666666666666666
413,fraud,6,2.0,1.0,0.3333333333333333,0.16666666666666666
414,cold war,6,3.0,1.0,0.5,0.16666666666666666
415,internet,6,1.0,2.0,0.16666666666666666,0.3333333333333333
416,knife,6,3.0,1.0,0.5,0.16666666666666666
417,demonic possession,6,4.0,0.0,0.6666666666666666,0.0
418,based on short story,6,2.0,0.0,0.3333333333333333,0.0
419,elderly,5,1.0,0.0,0.2,0.0
420,dinosaur,5,3.0,0.0,0.6,0.0
421,hope,5,3.0,0.0,0.6,0.0
422,cyborg,5,2.0,0.0,0.4,0.0
423,religious,5,1.0,0.0,0.2,0.0
424,classroom,5,1.0,0.0,0.2,0.0
425,apartment,5,2.0,0.0,0.4,0.0
426,brothel,5,0.0,2.0,0.0,0.4
427,waitress,5,1.0,1.0,0.2,0.2
428,the white house,5,2.0,1.0,0.4,0.2
429,iraq,5,1.0,1.0,0.2,0.2
430,hacker,5,2.0,1.0,0.4,0.2
431,police chase,5,4.0,0.0,0.8,0.0
432,gas station,5,1.0,1.0,0.2,0.2
433,drug cartel,5,1.0,1.0,0.2,0.2
434,detroit,5,2.0,2.0,0.4,0.4
435,execution,5,2.0,1.0,0.4,0.2
436,thief,5,2.0,3.0,0.4,0.6
437,theft,5,2.0,3.0,0.4,0.6
438,parody,5,1.0,0.0,0.2,0.0
439,ocean,5,4.0,1.0,0.8,0.2
440,drug lord,5,1.0,2.0,0.2,0.4
441,cell phone,5,1.0,0.0,0.2,0.0
442,zoo,5,3.0,0.0,0.6,0.0
443,accident,5,2.0,0.0,0.4,0.0
444,painting,5,1.0,3.0,0.2,0.6
445,dancer,5,2.0,0.0,0.4,0.0
446,dance,5,1.0,1.0,0.2,0.2
447,russia,5,1.0,0.0,0.2,0.0
448,wall street,5,2.0,1.0,0.4,0.2
449,group of friends,5,4.0,0.0,0.8,0.0
450,tattoo,5,2.0,1.0,0.4,0.2
451,pennsylvania,5,1.0,0.0,0.2,0.0
452,single mother,5,1.0,0.0,0.2,0.0
453,hawaii,5,2.0,1.0,0.4,0.2
454,disaster movie,5,3.0,2.0,0.6,0.4
455,widower,5,0.0,1.0,0.0,0.2
456,fighting,5,1.0,1.0,0.2,0.2
